ProvinceID,Province_Name,Year,DSL (Day),R35mm (Day),MONTH,MIN,MAX,MEAN
10,Bangkok,1979,22,6,1,0.0,59.49000168,5.510256814
10,Bangkok,1979,22,6,2,0.0,82.08999634,13.98861441
10,Bangkok,1979,22,6,3,0.0,87.5,5.046233726
10,Bangkok,1979,22,6,4,3.039999962,469.3999939,94.04552684
10,Bangkok,1979,22,6,5,28.20999908,595.2800293,187.9599242
10,Bangkok,1979,22,6,6,29.29000092,1171.400024,228.0667349
10,Bangkok,1979,22,6,7,19.85000038,1695.599976,155.8158601
10,Bangkok,1979,22,6,8,28.52000046,799.25,192.4600985
10,Bangkok,1979,22,6,9,68.51000214,806.710022,235.9805591
10,Bangkok,1979,22,6,10,0.0,402.480011,53.62318283
10,Bangkok,1979,22,6,11,0.0,1075.560059,51.18398659
10,Bangkok,1979,22,6,12,0.0,189.9900055,10.53747038
10,Bangkok,1980,9,8,1,0.0,39.79999924,1.345304761
10,Bangkok,1980,9,8,2,0.0,60.79000092,8.212346664
10,Bangkok,1980,9,8,3,0.600000024,146.1999969,30.5258966
10,Bangkok,1980,9,8,4,0.0,241.1999969,59.05998928
10,Bangkok,1980,9,8,5,21.43000031,423.0100098,192.1231251
10,Bangkok,1980,9,8,6,52.22999954,1053.300049,255.7614587
10,Bangkok,1980,9,8,7,31.94000053,680.4500122,207.2690763
10,Bangkok,1980,9,8,8,40.95999908,1723.599976,217.6753044
10,Bangkok,1980,9,8,9,55.29999924,612.9699707,288.619411
10,Bangkok,1980,9,8,10,25.51000023,432.5599976,157.2965293
10,Bangkok,1980,9,8,11,0.0,942.1699829,71.93241048
10,Bangkok,1980,9,8,12,0.0,802.7700195,35.75579111
10,Bangkok,1981,9,9,1,0.0,77.18000031,2.489876191
10,Bangkok,1981,9,9,2,0.0,97.48999786,18.94725487
10,Bangkok,1981,9,9,3,0.0,100.9700012,24.0904258
10,Bangkok,1981,9,9,4,6.130000114,341.1300049,97.14282378
10,Bangkok,1981,9,9,5,64.01000214,467.4400024,208.4351609
10,Bangkok,1981,9,9,6,11.71000004,1111.099976,184.1271455
10,Bangkok,1981,9,9,7,23.29999924,1190.599976,239.8723853
10,Bangkok,1981,9,9,8,5.199999809,1284.800049,193.455347
10,Bangkok,1981,9,9,9,17.80999947,637.75,174.6149065
10,Bangkok,1981,9,9,10,24.80999947,354.5599976,133.3193967
10,Bangkok,1981,9,9,11,4.710000038,767.0100098,138.0177714
10,Bangkok,1981,9,9,12,0.0,674.3599854,39.50807677
10,Bangkok,1982,10,10,1,0.0,28.75,0.955233832
10,Bangkok,1982,10,10,2,0.0,124.1500015,15.77140942
10,Bangkok,1982,10,10,3,0.0,197.0,42.03061575
10,Bangkok,1982,10,10,4,1.899999976,368.7099915,93.76167458
10,Bangkok,1982,10,10,5,31.44000053,402.2799988,154.6364522
10,Bangkok,1982,10,10,6,21.95999908,845.4000244,156.9779023
10,Bangkok,1982,10,10,7,26.12000084,1087.900024,185.171871
10,Bangkok,1982,10,10,8,42.09000015,1157.199951,214.7706955
10,Bangkok,1982,10,10,9,59.31000137,641.0,287.7693908
10,Bangkok,1982,10,10,10,25.62000084,383.480011,129.1835928
10,Bangkok,1982,10,10,11,0.209999993,463.7999878,62.61938038
10,Bangkok,1982,10,10,12,0.0,550.0700073,29.92883432
10,Bangkok,1983,10,13,1,0.0,161.5899963,14.30195774
10,Bangkok,1983,10,13,2,0.0,33.79999924,2.769040354
10,Bangkok,1983,10,13,3,0.0,217.2799988,11.92506127
10,Bangkok,1983,10,13,4,0.0,178.8200073,24.50509011
10,Bangkok,1983,10,13,5,15.72000027,590.5999756,156.2776139
10,Bangkok,1983,10,13,6,27.31999969,1233.0,189.2640592
10,Bangkok,1983,10,13,7,38.11999893,929.0,187.0626204
10,Bangkok,1983,10,13,8,55.11999893,1027.800049,296.1072627
10,Bangkok,1983,10,13,9,43.54999924,783.4199829,230.316036
10,Bangkok,1983,10,13,10,46.79000092,1251.300049,240.260481
10,Bangkok,1983,10,13,11,0.0,438.8299866,101.9593223
10,Bangkok,1983,10,13,12,0.0,890.4799805,50.64661369
10,Bangkok,1984,12,7,1,0.0,192.8899994,14.79839554
10,Bangkok,1984,12,7,2,0.0,134.9799957,27.25725619
10,Bangkok,1984,12,7,3,0.0,198.6399994,31.93785942
10,Bangkok,1984,12,7,4,4.699999809,441.5899963,101.4684778
10,Bangkok,1984,12,7,5,25.12000084,561.1099854,161.0446994
10,Bangkok,1984,12,7,6,30.62000084,1264.199951,191.1512442
10,Bangkok,1984,12,7,7,48.31999969,513.7999878,183.1227968
10,Bangkok,1984,12,7,8,5.920000076,909.2999878,206.788975
10,Bangkok,1984,12,7,9,70.80000305,512.4000244,229.9838822
10,Bangkok,1984,12,7,10,36.0,473.5499878,156.4962396
10,Bangkok,1984,12,7,11,0.0,904.3300171,53.56597142
10,Bangkok,1984,12,7,12,0.0,870.1599731,47.09789118
10,Bangkok,1985,9,7,1,0.0,101.0999985,13.23179611
10,Bangkok,1985,9,7,2,0.0,192.0200043,20.76923882
