Province_Name,Year,DSL (Day),R35mm (Day),MIN,MAX,MEAN
Bangkok,1979,12.613852813852814,10.455988455988455,15.384320967453704,387.6900024,24.47884024
Bangkok,1980,12.613852813852814,10.455988455988455,15.384320967453704,165.0899963,15.16515431
Bangkok,1981,12.613852813852814,10.455988455988455,15.384320967453704,198.3800049,47.72380857
Bangkok,1982,12.613852813852814,10.455988455988455,5.010000229,273.730011,90.81799487
Bangkok,1983,12.613852813852814,10.455988455988455,47.20000076,510.25,212.9676117
Bangkok,1984,12.613852813852814,10.455988455988455,24.25,1338.670044,258.2518704
Bangkok,1985,12.613852813852814,10.455988455988455,30.73999977,618.7862809617129,200.4149406
Bangkok,1986,12.613852813852814,10.455988455988455,48.00999832,1032.780029,299.3900757
Bangkok,1987,12.613852813852814,10.455988455988455,46.22000122,857.0700073,264.9901312
Bangkok,1988,12.613852813852814,10.455988455988455,10.35000038,524.2700195,129.2228477
Bangkok,1989,12.613852813852814,10.455988455988455,15.384320967453704,1021.210022,79.04753435
Bangkok,1990,12.613852813852814,10.455988455988455,15.384320967453704,703.5999756,77.81187287
Bangkok,1991,12.613852813852814,10.455988455988455,15.384320967453704,146.1999969,7.283541617
Bangkok,1992,12.613852813852814,10.455988455988455,15.384320967453704,212.9700012,24.7849347
Bangkok,1993,12.613852813852814,10.455988455988455,15.384320967453704,196.7400055,33.11280628
Bangkok,1994,12.613852813852814,10.455988455988455,15.384320967453704,173.4900055,65.81468644
Bangkok,1995,12.613852813852814,10.455988455988455,47.97000122,545.6799927,214.9061038
Bangkok,1996,12.613852813852814,10.455988455988455,26.37999916,1076.040039,210.1735661
Bangkok,1997,12.613852813852814,10.455988455988455,23.20000076,692.7000122,200.3508048
Bangkok,1998,12.613852813852814,10.455988455988455,59.91999817,819.2999878,270.5188434
Bangkok,1999,12.613852813852814,10.455988455988455,64.83999634,462.6300049,209.4358483
Bangkok,2000,12.613852813852814,10.455988455988455,7.710000038,734.5200195,158.4818772
Bangkok,2001,12.613852813852814,10.455988455988455,15.384320967453704,864.789978,61.40554507
Bangkok,2002,12.613852813852814,10.455988455988455,15.384320967453704,651.3800049,55.2995715
Bangkok,2003,12.613852813852814,10.455988455988455,15.384320967453704,92.80000305,4.386173654
Bangkok,2004,12.613852813852814,10.455988455988455,15.384320967453704,120.2600021,20.89791363
Bangkok,2005,12.613852813852814,10.455988455988455,15.384320967453704,196.5700073,39.95291269
Bangkok,2006,12.613852813852814,10.455988455988455,19.51000023,377.6400146,108.2720633
Bangkok,2007,12.613852813852814,10.455988455988455,5.900000095,254.3999939,89.54588874
Bangkok,2008,12.613852813852814,10.455988455988455,52.61000061,771.2399902,213.1400959
Bangkok,2009,12.613852813852814,10.455988455988455,19.30999947,913.6900024,176.1573762
Bangkok,2010,12.613852813852814,10.455988455988455,9.680000305,761.6799927,198.4190878
Bangkok,2011,12.613852813852814,10.455988455988455,62.31999969,739.7999878,269.7599071
Bangkok,2012,12.613852813852814,10.455988455988455,46.43000031,388.8900146,167.9836013
Bangkok,2013,12.613852813852814,10.455988455988455,0.5,658.6500244,117.3788534
Bangkok,2014,12.613852813852814,10.455988455988455,15.384320967453704,433.4899902,43.37566341
Bangkok,2015,12.613852813852814,10.455988455988455,15.384320967453704,109.1999969,6.119834608
Bangkok,2016,12.613852813852814,10.455988455988455,15.384320967453704,102.6900024,4.09011309
Bangkok,2017,12.613852813852814,10.455988455988455,15.384320967453704,369.769989,54.89571212
Bangkok,2018,12.613852813852814,10.455988455988455,15.384320967453704,243.9299927,39.17693123
Bangkok,2019,12.613852813852814,10.455988455988455,40.11000061,363.7900085,177.6940888
Bangkok,2020,12.613852813852814,10.455988455988455,33.50999832,1064.599976,184.4075776
Bangkok,2021,12.613852813852814,10.455988455988455,38.72999954,1088.560059,224.7211371
Bangkok,2022,12.613852813852814,10.455988455988455,47.00999832,1209.699951,225.5021662
Bangkok,2023,12.613852813852814,10.455988455988455,60.15999985,719.8699951,279.6707472
Samut Prakarn,1979,12.613852813852814,10.455988455988455,3.809999943,592.5900269,116.734004
Samut Prakarn,1980,12.613852813852814,10.455988455988455,15.384320967453704,736.8800049,80.54903793
Samut Prakarn,1981,12.613852813852814,10.455988455988455,15.384320967453704,1299.160034,58.84397567
Samut Prakarn,1982,12.613852813852814,10.455988455988455,15.384320967453704,168.6999969,5.901240135
Samut Prakarn,1983,12.613852813852814,10.455988455988455,15.384320967453704,141.1000061,13.65529554
Samut Prakarn,1984,12.613852813852814,10.455988455988455,0.189999998,212.9700012,48.33632487
Samut Prakarn,1985,12.613852813852814,10.455988455988455,12.40999985,311.7399902,116.7598619
Samut Prakarn,1986,12.613852813852814,10.455988455988455,43.11000061,376.2200012,172.8930261
Samut Prakarn,1987,12.613852813852814,10.455988455988455,19.34000015,464.2900085,135.1083621
Samut Prakarn,1988,12.613852813852814,10.455988455988455,39.93999863,736.4000244,171.5520006
Samut Prakarn,1989,12.613852813852814,10.455988455988455,36.20000076,1100.599976,273.8994681
Samut Prakarn,1990,12.613852813852814,10.455988455988455,52.25999832,595.3200073,222.4293964
Samut Prakarn,1991,12.613852813852814,10.455988455988455,22.96999931,618.7862809617129,200.9504948
Samut Prakarn,1992,12.613852813852814,10.455988455988455,3.200000048,873.0100098,119.8758715
Samut Prakarn,1993,12.613852813852814,10.455988455988455,15.384320967453704,838.3800049,47.03726175
Samut Prakarn,1994,12.613852813852814,10.455988455988455,0.899999976,1239.469971,112.5281397
Samut Prakarn,1995,12.613852813852814,10.455988455988455,15.384320967453704,158.4900055,23.00624214
Samut Prakarn,1996,12.613852813852814,10.455988455988455,15.384320967453704,144.5899963,33.41594978
Samut Prakarn,1997,12.613852813852814,10.455988455988455,15.384320967453704,228.2899933,37.28742409
Samut Prakarn,1998,12.613852813852814,10.455988455988455,88.30999756,515.789978,217.1552117
Samut Prakarn,1999,12.613852813852814,10.455988455988455,36.25999832,1718.199951,209.0002773
Samut Prakarn,2000,12.613852813852814,10.455988455988455,13.90999985,712.9000244,198.7323843
Samut Prakarn,2001,12.613852813852814,10.455988455988455,34.88999939,1232.859985,259.9007389
Samut Prakarn,2002,12.613852813852814,10.455988455988455,70.22000122,577.8699951,246.5237178
Samut Prakarn,2003,12.613852813852814,10.455988455988455,26.87999916,740.5700073,190.2531642
Samut Prakarn,2004,12.613852813852814,10.455988455988455,15.384320967453704,616.8900146,86.23753658
Samut Prakarn,2005,12.613852813852814,10.455988455988455,15.384320967453704,602.4000244,41.82790409
Samut Prakarn,2006,12.613852813852814,10.455988455988455,15.384320967453704,154.75,2.13674302
Samut Prakarn,2007,12.613852813852814,10.455988455988455,15.384320967453704,149.6999969,17.95830804
Samut Prakarn,2008,12.613852813852814,10.455988455988455,15.384320967453704,220.6999969,34.48855918
Samut Prakarn,2009,12.613852813852814,10.455988455988455,2.910000086,238.6499939,79.66232686
Samut Prakarn,2010,12.613852813852814,10.455988455988455,78.58999634,1056.369995,200.2603482
Samut Prakarn,2011,12.613852813852814,10.455988455988455,19.44000053,523.0999756,130.3899709
Samut Prakarn,2012,12.613852813852814,10.455988455988455,46.81000137,981.5999756,208.8941273
Samut Prakarn,2013,12.613852813852814,10.455988455988455,43.70000076,672.5,243.2299212
Samut Prakarn,2014,12.613852813852814,10.455988455988455,39.90999985,791.7999878,253.3222123
Samut Prakarn,2015,12.613852813852814,10.455988455988455,71.61000061,461.0799866,197.0662278
Samut Prakarn,2016,12.613852813852814,10.455988455988455,15.384320967453704,1497.670044,114.1914056
Samut Prakarn,2017,12.613852813852814,10.455988455988455,15.384320967453704,229.8899994,13.66243412
Samut Prakarn,2018,12.613852813852814,10.455988455988455,15.384320967453704,287.7399902,27.87541652
Samut Prakarn,2019,12.613852813852814,10.455988455988455,15.384320967453704,346.2999878,11.21238276
Samut Prakarn,2020,12.613852813852814,10.455988455988455,15.384320967453704,153.9799957,25.69314502
Samut Prakarn,2021,12.613852813852814,10.455988455988455,15.384320967453704,196.4900055,74.31996991
Samut Prakarn,2022,12.613852813852814,10.455988455988455,28.90999985,381.7999878,151.959941
Samut Prakarn,2023,12.613852813852814,10.455988455988455,8.100000381,752.7000122,108.1586842
Nonthaburi,1979,12.613852813852814,10.455988455988455,34.70000076,882.4000244,170.0577724
Nonthaburi,1980,12.613852813852814,10.455988455988455,24.04999924,1004.200012,227.0427461
Nonthaburi,1981,12.613852813852814,10.455988455988455,32.5,618.7862809617129,256.090073
Nonthaburi,1982,12.613852813852814,10.455988455988455,5.710000038,580.8699951,131.1274474
Nonthaburi,1983,12.613852813852814,10.455988455988455,15.384320967453704,759.210022,64.29478166
Nonthaburi,1984,12.613852813852814,10.455988455988455,15.384320967453704,386.2900085,33.10119929
Nonthaburi,1985,12.613852813852814,10.455988455988455,15.384320967453704,262.5,28.19141919
Nonthaburi,1986,12.613852813852814,10.455988455988455,15.384320967453704,256.7600098,30.08257962
Nonthaburi,1987,12.613852813852814,10.455988455988455,15.384320967453704,116.6900024,23.84177914
Nonthaburi,1988,12.613852813852814,10.455988455988455,2.5,284.3900146,84.59084286
Nonthaburi,1989,12.613852813852814,10.455988455988455,84.37000275,452.0899963,200.9147091
Nonthaburi,1990,12.613852813852814,10.455988455988455,14.93000031,833.4000244,167.9556154
Nonthaburi,1991,12.613852813852814,10.455988455988455,51.15000153,957.4699707,286.3251074
Nonthaburi,1992,12.613852813852814,10.455988455988455,15.15999985,1275.699951,232.9255075
Nonthaburi,1993,12.613852813852814,10.455988455988455,86.5,982.2600098,305.9671127
Nonthaburi,1994,12.613852813852814,10.455988455988455,4.900000095,618.7862809617129,99.18977988
Nonthaburi,1995,12.613852813852814,10.455988455988455,15.384320967453704,481.0899963,35.5123067
Nonthaburi,1996,12.613852813852814,10.455988455988455,15.384320967453704,390.7900085,24.96277929
Nonthaburi,1997,12.613852813852814,10.455988455988455,15.384320967453704,59.49000168,5.510256814
Nonthaburi,1998,12.613852813852814,10.455988455988455,15.384320967453704,82.08999634,13.98861441
Nonthaburi,1999,12.613852813852814,10.455988455988455,15.384320967453704,87.5,5.046233726
Nonthaburi,2000,12.613852813852814,10.455988455988455,3.039999962,469.3999939,94.04552684
Nonthaburi,2001,12.613852813852814,10.455988455988455,28.20999908,595.2800293,187.9599242
Nonthaburi,2002,12.613852813852814,10.455988455988455,29.29000092,1171.400024,228.0667349
Nonthaburi,2003,12.613852813852814,10.455988455988455,19.85000038,1695.599976,155.8158601
Nonthaburi,2004,12.613852813852814,10.455988455988455,28.52000046,799.25,192.4600985
Nonthaburi,2005,12.613852813852814,10.455988455988455,68.51000214,806.710022,235.9805591
Nonthaburi,2006,12.613852813852814,10.455988455988455,15.384320967453704,402.480011,53.62318283
Nonthaburi,2007,12.613852813852814,10.455988455988455,15.384320967453704,1075.560059,51.18398659
Nonthaburi,2008,12.613852813852814,10.455988455988455,15.384320967453704,189.9900055,10.53747038
Nonthaburi,2009,12.613852813852814,10.455988455988455,15.384320967453704,39.79999924,1.345304761
Nonthaburi,2010,12.613852813852814,10.455988455988455,15.384320967453704,60.79000092,8.212346664
Nonthaburi,2011,12.613852813852814,10.455988455988455,0.600000024,146.1999969,30.5258966
Nonthaburi,2012,12.613852813852814,10.455988455988455,15.384320967453704,241.1999969,59.05998928
Nonthaburi,2013,12.613852813852814,10.455988455988455,21.43000031,423.0100098,192.1231251
Nonthaburi,2014,12.613852813852814,10.455988455988455,52.22999954,1053.300049,255.7614587
Nonthaburi,2015,12.613852813852814,10.455988455988455,31.94000053,680.4500122,207.2690763
Nonthaburi,2016,12.613852813852814,10.455988455988455,40.95999908,1723.599976,217.6753044
Nonthaburi,2017,12.613852813852814,10.455988455988455,55.29999924,612.9699707,288.619411
Nonthaburi,2018,12.613852813852814,10.455988455988455,25.51000023,432.5599976,157.2965293
Nonthaburi,2019,12.613852813852814,10.455988455988455,15.384320967453704,942.1699829,71.93241048
Nonthaburi,2020,12.613852813852814,10.455988455988455,15.384320967453704,802.7700195,35.75579111
Nonthaburi,2021,12.613852813852814,10.455988455988455,15.384320967453704,77.18000031,2.489876191
Nonthaburi,2022,12.613852813852814,10.455988455988455,15.384320967453704,97.48999786,18.94725487
Nonthaburi,2023,12.613852813852814,10.455988455988455,15.384320967453704,100.9700012,24.0904258
Pathum Thani,1979,12.613852813852814,10.455988455988455,6.130000114,341.1300049,97.14282378
Pathum Thani,1980,12.613852813852814,10.455988455988455,64.01000214,467.4400024,208.4351609
Pathum Thani,1981,12.613852813852814,10.455988455988455,11.71000004,1111.099976,184.1271455
Pathum Thani,1982,12.613852813852814,10.455988455988455,23.29999924,1190.599976,239.8723853
Pathum Thani,1983,12.613852813852814,10.455988455988455,5.199999809,1284.800049,193.455347
Pathum Thani,1984,12.613852813852814,10.455988455988455,17.80999947,637.75,174.6149065
Pathum Thani,1985,12.613852813852814,10.455988455988455,24.80999947,354.5599976,133.3193967
Pathum Thani,1986,12.613852813852814,10.455988455988455,4.710000038,767.0100098,138.0177714
Pathum Thani,1987,12.613852813852814,10.455988455988455,15.384320967453704,674.3599854,39.50807677
Pathum Thani,1988,12.613852813852814,10.455988455988455,15.384320967453704,28.75,0.955233832
Pathum Thani,1989,12.613852813852814,10.455988455988455,15.384320967453704,124.1500015,15.77140942
Pathum Thani,1990,12.613852813852814,10.455988455988455,15.384320967453704,618.7862809617129,42.03061575
Pathum Thani,1991,12.613852813852814,10.455988455988455,1.899999976,368.7099915,93.76167458
Pathum Thani,1992,12.613852813852814,10.455988455988455,31.44000053,402.2799988,154.6364522
Pathum Thani,1993,12.613852813852814,10.455988455988455,21.95999908,845.4000244,156.9779023
Pathum Thani,1994,12.613852813852814,10.455988455988455,26.12000084,1087.900024,185.171871
Pathum Thani,1995,12.613852813852814,10.455988455988455,42.09000015,1157.199951,214.7706955
Pathum Thani,1996,12.613852813852814,10.455988455988455,59.31000137,618.7862809617129,287.7693908
Pathum Thani,1997,12.613852813852814,10.455988455988455,25.62000084,383.480011,129.1835928
Pathum Thani,1998,12.613852813852814,10.455988455988455,0.209999993,463.7999878,62.61938038
Pathum Thani,1999,12.613852813852814,10.455988455988455,15.384320967453704,550.0700073,29.92883432
Pathum Thani,2000,12.613852813852814,10.455988455988455,15.384320967453704,161.5899963,14.30195774
Pathum Thani,2001,12.613852813852814,10.455988455988455,15.384320967453704,33.79999924,2.769040354
Pathum Thani,2002,12.613852813852814,10.455988455988455,15.384320967453704,217.2799988,11.92506127
Pathum Thani,2003,12.613852813852814,10.455988455988455,15.384320967453704,178.8200073,24.50509011
Pathum Thani,2004,12.613852813852814,10.455988455988455,15.72000027,590.5999756,156.2776139
Pathum Thani,2005,12.613852813852814,10.455988455988455,27.31999969,618.7862809617129,189.2640592
Pathum Thani,2006,12.613852813852814,10.455988455988455,38.11999893,618.7862809617129,187.0626204
Pathum Thani,2007,12.613852813852814,10.455988455988455,55.11999893,1027.800049,296.1072627
Pathum Thani,2008,12.613852813852814,10.455988455988455,43.54999924,783.4199829,230.316036
Pathum Thani,2009,12.613852813852814,10.455988455988455,46.79000092,1251.300049,240.260481
Pathum Thani,2010,12.613852813852814,10.455988455988455,15.384320967453704,438.8299866,101.9593223
Pathum Thani,2011,12.613852813852814,10.455988455988455,15.384320967453704,890.4799805,50.64661369
Pathum Thani,2012,12.613852813852814,10.455988455988455,15.384320967453704,192.8899994,14.79839554
Pathum Thani,2013,12.613852813852814,10.455988455988455,15.384320967453704,134.9799957,27.25725619
Pathum Thani,2014,12.613852813852814,10.455988455988455,15.384320967453704,198.6399994,31.93785942
Pathum Thani,2015,12.613852813852814,10.455988455988455,4.699999809,441.5899963,101.4684778
Pathum Thani,2016,12.613852813852814,10.455988455988455,25.12000084,561.1099854,161.0446994
Pathum Thani,2017,12.613852813852814,10.455988455988455,30.62000084,1264.199951,191.1512442
Pathum Thani,2018,12.613852813852814,10.455988455988455,48.31999969,513.7999878,183.1227968
Pathum Thani,2019,12.613852813852814,10.455988455988455,5.920000076,909.2999878,206.788975
Pathum Thani,2020,12.613852813852814,10.455988455988455,70.80000305,512.4000244,229.9838822
Pathum Thani,2021,12.613852813852814,10.455988455988455,15.384320967453704,473.5499878,156.4962396
Pathum Thani,2022,12.613852813852814,10.455988455988455,15.384320967453704,904.3300171,53.56597142
Pathum Thani,2023,12.613852813852814,10.455988455988455,15.384320967453704,870.1599731,47.09789118
Phra Nakhon Si Ayutthaya,1979,12.613852813852814,10.455988455988455,15.384320967453704,101.0999985,13.23179611
Phra Nakhon Si Ayutthaya,1980,12.613852813852814,10.455988455988455,15.384320967453704,192.0200043,20.76923882
Phra Nakhon Si Ayutthaya,1981,12.613852813852814,10.455988455988455,15.384320967453704,291.9899902,31.1564866
Phra Nakhon Si Ayutthaya,1982,12.613852813852814,10.455988455988455,16.90999985,384.2000122,110.8584643
Phra Nakhon Si Ayutthaya,1983,12.613852813852814,10.455988455988455,59.81000137,559.8499756,182.6633264
Phra Nakhon Si Ayutthaya,1984,12.613852813852814,10.455988455988455,17.80999947,1025.699951,170.4402245
Phra Nakhon Si Ayutthaya,1985,12.613852813852814,10.455988455988455,50.40999985,580.4000244,169.7571213
Phra Nakhon Si Ayutthaya,1986,12.613852813852814,10.455988455988455,25.40999985,837.4000244,188.4763871
